"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2262187265199","","20.563323726776","17.4509512986055","17.330716102434","18.3740856455982","18.8337724776796","21.0892882039485","20.9211261135482","21.6511708056761","16.9602472152686","16.8913428548014","17.4833090315355","17.6329086933573","17.7319792846616","17.8718124099267","17.1219290857404","16.7355908971058","17.1765834836958","17.2585555990453","17.6148723327476","18.0484302489089","19.2885355782367","19.5991538866053","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96759757507017","5.28345660398282","6.08796493020769","8.48175836103604","9.16975191915408","8.91679399595736","7.70780060287773","7.12277329020889","6.88210294277301","7.58538233129798","9.50265278288094","9.89845089688421","","","","","","","",
"Africa Western and Central","AFW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2939716615223","28.7033821587261","29.2466757235017","15.5328118307446","17.1715803572772","18.0745701171648","17.1091178120826","23.385169992983","21.499160563566","25.6501498565559","18.3610792311247","16.599947206125","16.1034124367128","14.8227191113256","14.184762657139","13.5426301621262","11.0020190179303","9.73251248352788","9.223777502108","9.64477850341357","10.090385804431","","","","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2022198544936","8.76625058391996","9.75303831787712","14.2642010672685","","","","15.8747643037774","16.6323426421383","17.4267041665946","","","","","","","17.9067230671409","17.5879265953551","16.4764962744668","18.2080954662381","18.3812921492969","17.4032025232446","18.5476631833556","18.2769527327116","17.9309939892851","16.8955446005948","18.0962081959745","18.0607786802299","17.7598687402034","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25146456869547","5.41235306786745","","","","","","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587239217888","1.1224470054107","","","","","","","","","","","","0.312357810734687","0.354309302652762","0.361091644805933","0.346301233375436","0.0558410691327574","0.042056449990283","0.0656213981912336","0.0586388626960759","0.972238389481673","0.682088274479058","0.535243668700213","0.57850773675799","0.626855998835217","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697","5.00823654744009","5.54792213441138","8.01513800555669","8.12643722809198","8.05435765172309","8.17178777492906","8.69008635554994","9.03052618638845","9.07612433559182","9.62260350188905","9.32489879390056","9.81895834666325","12.5187797002949","13.1007798994386","13.1031756459852","12.8788866954319","12.4482684483004","13.3178463574032","12.3830415594157","12.8530426903255","12.6636277012315","12.9528415127413","12.4529027558077","12.6109666067191","12.3365069418291","12.0972836411962","10.939623860491","9.79144712037089","10.3919973375121","10.70812114449","11.3410740330927","11.0858180930687","9.98093648141313","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916420766113","21.5862138752919","21.5991745525223","20.931220827141","21.2773752756378","20.7806533587524","20.8701039031814","22.2851709900772","21.8604192761626","22.0010047423132","21.8271552378304","22.4818625824234","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.8414294693364","17.0185861667536","18.0574192800225","19.8748175592231","20.3001835654897","20.5342757652929","20.4056768101733","19.7696058204845","20.4124385279391","21.4623260698346","21.5859206186739","21.7148679611856","21.012386928912","22.4927070992726","22.554863440345","23.2112052408456","23.1291322377704","22.6439122406864","22.429781840016","22.3284023383703","20.6400018900019","19.9804605282411","20.0076293834129","21.1595939061725","21.8723592497859","22.3755759747784","22.2288032041274","22.4149937199163","23.0241415839463","24.8578601700306","23.5481448774929","24.2999696180339","24.2582650629738","24.7545497178645","24.51177238554","24.0393453581788","24.2076958094452","22.0210061350471","20.4779954643102","20.3225244773041","21.0990859163958","21.9443416287694","21.897878678174","21.8740706763168","22.2755221320286","22.1103686445861","23.2084449619852","23.4084400141939","22.5909248948989","23.0612679317794","23.6279512463691","","",
"Austria","AUT","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.9591290000284","18.2685059577451","18.4696840464656","18.0817489742431","17.9325719284559","18.0700711099904","18.8513880825742","18.6230604142437","18.6510584687095","19.0243413980395","18.2619499707381","18.1034977014108","19.0386492459139","18.174972932622","18.0430086929315","17.7897642109356","18.6357946612864","17.8757688140675","18.0517896686192","18.2386167567911","18.9948808846593","19.0099150208509","18.4177127144409","24.6852666278446","26.0699077341455","26.926211709083","27.02386308091","26.7081532349359","26.3582503226179","28.1049696740217","27.1759762710679","26.8133590933971","26.4758305323051","25.6489616551304","25.1943406740954","25.5950050669501","26.248140017775","25.3973668580862","25.495733887384","25.6466391466356","26.1830994283732","26.7741686943731","26.8419027283415","27.2160274066387","25.8220277699052","25.7616861075799","25.7216448598991","25.8096620383826","24.666005775658","26.014817481271","26.206863593528","25.8904950501971","",
"Azerbaijan","AZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5591673338671","17.9540725466304","9.85045743980092","10.693809961055","12.6793349997094","12.7334587163254","","","","","","","","","16.4211753684861","14.1067089869809","12.1577769928176","12.2247609538804","12.7786393685483","13.3883331614589","14.2125356482603","15.6031629275469","14.5555165725558","13.1640455061148","12.9712717874444","14.2188526451777","15.1855725074093","13.4213202980155","15.4476897158899","","",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","13.8542953523238","13.1656455862978","","","","","","","","","","","13.855957125156","15.5317509914759","14.4961552151041","13.4878665306569","13.690026719648","13.1281548917256","13.8633859518928","14.3683824159336","","15.0593943769868","15.787822766545","15.6362454762579","","","",
"Belgium","BEL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.62241940319","26.0298916733672","26.5670243171063","27.1630417867819","27.0095118766394","27.2747413568488","26.7865121102057","25.712345094836","25.0766180109402","25.5379612606576","25.4713299290151","25.2877504793919","24.7885375338784","25.2541698756848","23.6951482292977","24.4613514281372","24.7537791878132","25.7069678443471","26.0756081287063","26.0083569098349","24.4227242755175","22.9285982517678","23.5351388069477","24.0377739058673","22.5978209383393","21.8615640422477","23.2249877086564","22.7011914803787","","",
"Benin","BEN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","13.0574947445606","12.9726711934565","12.26007922036","10.7891425473787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66138376801539","9.86131120448803","11.2910196598144","10.4497340755746","10.7784082614218","11.2791891162773","10.5488763462348","11.1276317273501","11.3100646526483","12.2194913583116","13.889962428562","14.9486419589637","13.6638275123408","13.2802007024398","14.1391533049498","15.2607212259008","15.2924120845571","15.6406078633915","13.7423701735785","16.019787781564","17.6730517423342","18.3579798817011","",
"Bangladesh","BGD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823","6.69138419067813","6.96521390375867","7.04644841818552","7.13567003946154","7.04330405780911","6.91726266856821","7.65602988282474","7.49811626276927","7.83468474946733","8.68592470557816","9.02456269019499","8.96241331541821","8.6353777373447","8.49834882820801","7.31691184755758","6.99714263243688","7.73177216647423","7.63863895493657","7.00153674405437","7.64236301017901","","","",
"Bulgaria","BGR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8331284450966","22.3338246131172","16.9033864541833","15.2137838742054","21.2389649923897","11.1566642653274","12.0685973776701","18.5226349001335","19.3755012747903","20.0322957340146","20.4579930652149","19.7804941270264","18.1476658113756","20.1151861523983","21.0295709865638","20.8855219915078","21.812020406639","21.7606132992206","21.9738798204441","18.5864986441581","17.8714315570459","17.8827151475731","18.3853352646645","19.6862822353302","19.5666207727537","20.0778036414442","20.3330299615082","20.523224655166","19.9369805450372","20.5572127126498","20.1784055093694","20.5821478187492","21.7256158413796","20.4750197596259","",
"Bahrain","BHR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56210399299131","4.43354361335122","4.74094781737692","4.70474275851932","4.54981588369713","4.21857580880695","4.43507307923291","4.48333472278643","4.98151845306491","4.40879662320093","3.73277772071662","4.10364290899394","3.57899289191497","3.30681318786877","4.21684066611925","1.16184562908878","1.16617489174005","1.14509796242081","1.23581558449619","1.3631667858969","1.12828093917582","1.07176697647209","1.13708147249514","1.02928468252976","0.792383936021881","0.990043144194505","0.808517153690866","0.936278227051092","1.09260242365011","2.87818871935823","2.82317547849899","","","","",
